p_x,p_y,p_z,u_x,u_y,u_z,mag,dot
11.305302400,-0.000000000,-3.435592516,0.983069774,-0.000000000,0.366463202,1.049152734,0.891570640
11.400869852,-0.000000000,-2.456587839,0.991379987,-0.000000000,0.262036036,1.025425357,0.942408115
11.464362205,-0.000000000,-1.474979688,0.996901061,-0.000000000,0.157331167,1.009239725,0.979364608
11.496042964,-0.000000000,-0.491829995,0.999655910,-0.000000000,0.052461866,1.001031561,0.997825258
11.496042964,-0.000000000,0.491829995,0.999655910,-0.000000000,-0.052461866,1.001031561,0.997762960
11.464362205,-0.000000000,1.474979688,0.996901061,-0.000000000,-0.157331167,1.009239725,0.978901696
11.400869852,-0.000000000,2.456587839,0.991379987,-0.000000000,-0.262036036,1.025425357,0.942968856
11.305302400,-0.000000000,3.435592516,0.983069774,-0.000000000,-0.366463202,1.049152734,0.890604817
11.177259842,-0.000000000,4.410879808,0.971935638,-0.000000000,-0.470493846,1.079825608,0.826563741
11.016200061,-0.000000000,5.381258882,0.957930440,-0.000000000,-0.574000947,1.116739816,0.749963419
10.821431228,-0.000000000,6.345434789,0.940994020,-0.000000000,-0.676846377,1.159133626,0.665449737
10.592102358,-0.000000000,7.301975967,0.921052379,-0.000000000,-0.778877436,1.206228646,0.575548836
10.327192154,-0.000000000,8.249275329,0.898016709,-0.000000000,-0.879922702,1.257258116,0.483488568
10.025496469,-0.000000000,9.185502688,0.871782302,-0.000000000,-0.979786953,1.311482694,0.378168602
9.685615209,-0.000000000,10.108545496,0.842227409,-0.000000000,-1.078244853,1.368195517,0.286430103
9.305939892,-0.000000000,11.015934933,0.809212165,-0.000000000,-1.175033060,1.426718970,0.182917413
8.884644628,-0.000000000,11.904752160,0.772577794,-0.000000000,-1.269840230,1.486395189,0.077737098
8.419684950,-0.000000000,12.771509573,0.732146517,-0.000000000,-1.362294354,1.546571832,-0.030886127
7.908811914,-0.000000000,13.612001341,0.687722775,-0.000000000,-1.451946810,1.606584001,-0.133324320
7.349614742,-0.000000000,14.421116217,0.639096934,-0.000000000,-1.538252397,1.665732670,-0.243970448
6.739612903,-0.000000000,15.192609492,0.586053296,-0.000000000,-1.620545012,1.723259877,-0.349537377
6.076430187,-0.000000000,15.918838835,0.528385234,-0.000000000,-1.698009476,1.778321437,-0.454944343
5.358098277,-0.000000000,16.590487737,0.465921589,-0.000000000,-1.769652025,1.829959349,-0.573058262
4.583553521,-0.000000000,17.196336954,0.398569871,-0.000000000,-1.834275942,1.877079160,-0.671152719
3.753374972,-0.000000000,17.723221791,0.326380432,-0.000000000,-1.890476991,1.918444015,-0.773000261
2.870778468,-0.000000000,18.156385209,0.249632910,-0.000000000,-1.936681089,1.952703313,-0.862668027
1.942696748,-0.000000000,18.480525470,0.168930152,-0.000000000,-1.971256050,1.978481188,-0.932818881
0.980539621,-0.000000000,18.681719392,0.085264315,-0.000000000,-1.992716735,1.994540045,-0.979295928
